name;stadium;snomed_code;snomed_display;value_snomed_code;value_snomed_display
AJCC;IB;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222728005;American Joint Committee on Cancer stage IB (qualifier value)
AJCC;IA2;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222726009;American Joint Committee on Cancer stage IA2 (qualifier value)
AJCC;IA;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222726009;American Joint Committee on Cancer stage IA2 (qualifier value)
AJCC;I;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222723001;American Joint Committee on Cancer stage I (qualifier value)
AJCC;0is;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222722006;American Joint Committee on Cancer stage 0is (qualifier value)
AJCC;0;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222605001;American Joint Committee on Cancer stage 0 (qualifier value)
UICC;IVC;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352921006;Union for International Cancer Control stage IVC (qualifier value)
UICC;IVB;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352836005;Union for International Cancer Control stage IVB (qualifier value)
UICC;IVA;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352822000;Union for International Cancer Control stage IVA (qualifier value)
UICC;IV;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352913000;Union for International Cancer Control stage IV (qualifier value)
UICC;IS;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352880005;Union for International Cancer Control stage IS (qualifier value)
UICC;IIIC1;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352862001;Union for International Cancer Control stage IIIC1 (qualifier value)
UICC;IIIC;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352848008;Union for International Cancer Control stage IIIC (qualifier value)
UICC;IIIB;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352896008;Union for International Cancer Control stage IIIB (qualifier value)
UICC;IIIA2;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352882002;Union for International Cancer Control stage IIIA2 (qualifier value)
UICC;IIIA1;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352935008;Union for International Cancer Control stage IIIA1 (qualifier value)
UICC;IIIA;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352915007;Union for International Cancer Control stage IIIA (qualifier value)
UICC;III;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352871005;Union for International Cancer Control stage III (qualifier value)
UICC;IIC;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352831000;Union for International Cancer Control stage IIC (qualifier value)
UICC;IIB;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352861008;Union for International Cancer Control stage IIB (qualifier value)
UICC;IIA2;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352892005;Union for International Cancer Control stage IIA2 (qualifier value)
UICC;IIA1;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352829009;Union for International Cancer Control stage IIA1 (qualifier value)
UICC;IIA;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352856006;Union for International Cancer Control stage IIA (qualifier value)
UICC;II;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352944009;Union for International Cancer Control stage II (qualifier value)
UICC;IC;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352919001;Union for International Cancer Control stage IC (qualifier value)
UICC;IB2;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352864000;Union for International Cancer Control stage IB2 (qualifier value)
UICC;IB1;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352816009;Union for International Cancer Control stage IB1 (qualifier value)
UICC;IB;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352911003;Union for International Cancer Control stage IB (qualifier value)
UICC;IA3;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352854009;Union for International Cancer Control stage IA3 (qualifier value)
UICC;IA2;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352945005;Union for International Cancer Control stage IA2 (qualifier value)
UICC;IA1;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352890002;Union for International Cancer Control stage IA1 (qualifier value)
UICC;IA;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352843004;Union for International Cancer Control stage IA (qualifier value)
UICC;I;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352927005;Union for International Cancer Control stage I (qualifier value)
UICC;0is;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352895007;Union for International Cancer Control stage 0is (qualifier value)
UICC;0a;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352825003;Union for International Cancer Control stage 0a (qualifier value)
UICC;0;1386333000;Union for International Cancer Control TNM Classification of Malignant Tumours ninth edition (tumor staging);1352916008;Union for International Cancer Control stage 0 (qualifier value)
WHO-ISUP;4;1260098002;World Health Organization and International Society of Urological Pathology grading system for renal cell carcinoma (staging scale);;;
WHO-ISUP;3;1260098002;World Health Organization and International Society of Urological Pathology grading system for renal cell carcinoma (staging scale);;;
WHO-ISUP;2;1260098002;World Health Organization and International Society of Urological Pathology grading system for renal cell carcinoma (staging scale);;;
WHO-ISUP;1;1260098002;World Health Organization and International Society of Urological Pathology grading system for renal cell carcinoma (staging scale);;;
